o_p_q_r_s_t_u_v_w_x_y_z_{_|_}_~_
LanguageConfig_Monster_B0003_Tips_1_CN|疯狂与融蚀正在吞没你的卡牌，打出的卡牌将被消耗。
LanguageConfig_Card_Select_Get_Tipsfengrang_CN|选择 1 张手牌，将其 3 张复制洗入抽牌堆。
LanguageConfig_Card_Select_Get_Tipslaxiang_CN|选择 1 张手牌，使其算力消耗变为 0，
LanguageConfig_Card_Select_Get_Tipsxiaomao_CN|选择 1 名唤醒体，将其支援卡置入手中。
LanguageConfig_Card_Select_Get_Tipslamengna3_CN|选择任意张卡牌弃置，抽取等量卡牌。
Summon_14139_LongDesc2|<Title:【SSR物品】>
LanguageConfig_AssistanceSystemIntroduction_CN|·守密人可以选择1名唤醒体进行助战，其他已互相关注的守密人可以在融蚀之墟、禁忌纂录和幻梦深潜中使用你的助战唤醒体出战。
LanguageConfig_DailyCopyRules_CN|1、融蚀之墟内通关对应的关卡后来获得大量唤醒体升格素材、「灵知制剂」和「蔷薇金券」!
LanguageConfig_MonthCardRuleText_CN|<Title:【月相观测介绍】>
Summon_81539_LongDesc2|<Title:【SSR物品】>
Summon_81538_LongDesc2|<Title:【SSR物品】>
Summon_97985_LongDesc2|<Title:【SSR物品】>
Summon_97987_LongDesc2|<Title:【SSR物品】>
Summon_97984_LongDesc2|<Title:【SSR物品】>
LanguageConfig_PhiloStone_Desc_CN|融痕渴求的神秘印记，可以用于换取等价物品。
LanguageConfig_CellCardHint_CN|被出售的卡牌将在本局调查中永久移除，请谨慎选择
LanguageConfig_TrinketStrengthenLockTips_1_CN|当前密契已锁定，解锁以作为素材消耗
LanguageConfig_Monster_B0001_1_CN|你感觉身体逐渐变得沉重，难以给唤醒体下指令…
LanguageConfig_Monster_S0302_1_CN|超脱之俯仰进行鲜血仪式，每回合都会强化！…
LanguageConfig_Monster_LL_2_CN|敌人的护盾值在回合结束时将转化为生命，击破它吧！
LanguageConfig_TrinketStrengthenLockTips_2_CN|当前命轮已锁定，解锁以作为素材消耗
LanguageConfig_Monster_MadHorse_1_CN|一回合内的每次伤害都会扩大敌人的融蚀伤口。
LanguageConfig_Monster_C0102_AT_1_CN|敌人变得疯狂了！对其展开攻击来降低威胁！
LanguageConfig_Monster_TDJZ_1_CN|你被施加了「出血」状态，可以通过治疗进行解除。
LanguageConfig_Monster_LLZ_1_CN|猎颅者正在进行追猎，每抽一张牌都会引起他的关注！
LanguageConfig_Task_Appoint_AcountLvUpTips_CN|可同时派遣任务提升至<TipsHighlightText_1: {s1} >个
LanguageConfig_TrinketStrengthenEmptyStateTips_1_CN|尚未拥有未装备的密契或素材道具
LanguageConfig_WeaponExclusiveTips_CN|当装备者为{s1}时，{s2}的所有卡牌变成金色。
LanguageConfig_Task_Daily_Desc_CN|每日任务提供「银芯」和大量「守密人经验」奖励。
LanguageConfig_Monster_MadHorse_2_CN|如果没完全挡住伤害，会获得额外的「伤口」。
LanguageConfig_RemoveCardHint_CN|被删除的卡牌将在本局调查中永久移除，请谨慎选择
ActorAttrType_18126_AttributeDesc|队伍的界域精通等于队伍中唤醒体的界域精通之和。界域精通可以提升队伍的界域天赋效果。若当前队伍为「至纯深海/至纯血肉/至纯超维」，界域精通效果翻倍。
PanelText_UI_Events_Panel_OriMurphy_StageGroup_Text_C_Title_Content|创生七日
PanelText_UI_Dungeons_Popup_Clearance_Text_C_FilterAwaker_Content|筛选唤醒体
PanelText_UI_Dungeous_Panel_Molten_Optimized_Text_C_Integral_Content|通关积分
PanelText_UI_Dungeons_Popup_List_Tip_Text_C_FilterAwaker_Content|筛选唤醒体
PanelText_UI_Awaker_Item_Potency_Detail_Text_C_MaxMad_WillSolved_Content|此次解锁
PanelText_UI_Dungeous_Panel_RailWay_Text_C_Resonance_Content|小「N」的协助
PanelText_UI_Chapter_Item_Special_02_Text_C_Free_Unlock_Content|限时免费解锁
PanelText_UI_Events_Popup_WorldBossRank_Text_C_Information_Kill_Content|守密人信息
PanelText_UI_Dungeous_Panel_Molten_Optimized_Text_C_Special_Content|初始造物
PanelText_UI_Events_Popup_WorldBossRank_Text_C_Information_Assist_Content|守密人信息
PanelText_UI_Dungeous_Panel_Molten_Optimized_Text_C_Creation_Content|关卡造物
PanelText_UI_Dungeons_Trinket_View_Text_C_ActivityAchievement_Content|成就奖励
PanelText_UI_Dungeous_Panel_Difficulty_Optimized_Text_StrongAwakers_Content|强化唤醒体
PanelText_UI_Awaker_Popup_Topped_Tip3_Text_C_Not_MaxMad_Activation_Content|未激活
PanelText_UI_PVP_Item_RotationPlayer_Text_C_Wait_Content|等待轮选信息展示
PanelText_UI_Events_Panel_Mouchette_StageGroup_Text_C_Title_Content|迷失的自我
PanelText_UI_Bag_Panel_AppearancePreview_Text_C_NoTask_Content|已获得所有外观
PanelText_UI_Events_Popup_WorldBossRank_Text_C_AssistAwaker_Content|助战角色
PanelText_UI_Dungeons_Panel_SurveyData_Text_C_PlayerLevel_Content|守密人等级
PanelText_UI_Awaker_Popup_Trinket_Upgrade_Text_C_Max_Normal_Content|升至满级
PanelText_UI_Copy_Item_StoryChapter_Text_C_Free_Unlock_Content|限时免费解锁
PanelText_UI_Summon_Popup_OptionalLimit_Text_C_Tip_Content|长按唤醒体查看详情
PanelText_UI_Dungeous_Panel_Molten_Optimized_Text_C_Monster_Content|怪物预览
PanelText_UI_Social_Popup_WatchList_Text_Tip_Content|可查看近期新增的100名追随者
PanelText_UI_Events_Panel_Mouchette_Text_C_ChallengeTip_Content|玩法限时开放
PanelText_UI_Summon_Popup_SelectLimit_Text_C_ChooseTitle_Content|选择唤醒体
PanelText_UI_Collection_Panel_Equip_Text_C_Time_Content|去其他地方看看吧
PanelText_UI_Dungeons_Material_View_Text_C_ActivityAchievement_Content|成就奖励
PanelText_UI_Dungeous_Panel_Difficulty_Optimized_Text_RewardShow_Content|奖励预览
PanelText_UI_Events_Popup_WorldBossRank_Text_C_Empty_Assist_Content|暂无记录
PanelText_UI_Dungeons_Panel_WeekBOSS_Optimized_Text_C_ActivityAchievement_Content|成就奖励
PanelText_UI_Chapter_Item_Special_03_Text_C_Free_Unlock_Content|限时免费解锁
PanelText_UI_Events_Panel_Mouchette_Text_C_Resonance_Content|共鸣：吞噬山脉
PanelText_UI_Awaker_Item_Potency_Detail_Text_C_MaxMad_Unsolved_Content|未解锁
PanelText_UI_Dungeons_Panel_WeekBOSS_Optimized_Text_C_Award_Content|任务报酬
PanelText_UI_Awaker_Popup_Topped_Tip3_Text_C_MaxMad_Activation_Content|已激活
AwakerTalent_120347_TalentDesc_1|·诞妄·墨菲在队伍中时，将替换「深海」界域为「神国·深海」界域。
Lottery_58889_RuleContent|<Title:简介>
SchoolConfig_3_SchoolBattleTips_2|·超维空间：每回合打出第 1 张指令卡后，将其原始临时复制置入超维空间。超维空间达到上限时，可以发动超维空间。
LanguageConfig_ActiveTaskRuleDesc_CN|<Title:每日试训>
Summon_129492_LongDesc1|【<SummonOrange:于万千遥望中>】限时活动唤醒已开启。活动期间，守密人可从中<SummonOrange:自由选定>混沌界域唤醒体与推荐命轮获得概率提升。
Summon_129494_LongDesc1|【<SummonPurple:于万千遥望中>】限时活动唤醒已开启。活动期间，守密人可从中<SummonPurple:自由选定>超维界域唤醒体与推荐命轮获得概率提升。
Summon_117219_LongDesc1|【<SummonOrange:与群星相会·女性>】命轨合契唤醒已开启。开启期间，守密人可从中随机唤醒 1 个星辰篇女性SSR唤醒体、1 个忘却篇女性SSR唤醒体、 1 个星辰篇女性唤醒体推荐SSR命轮、 2个忘却篇女性唤醒体推荐SSR命轮。
Summon_117216_LongDesc1|【<SummonOrange:与群星相会·男性>】命轨合契唤醒已开启。开启期间，守密人可从中随机唤醒 1 个星辰篇男性SSR唤醒体、1 个忘却篇男性SSR唤醒体、 1 个星辰篇男性唤醒体推荐SSR命轮、 2个忘却篇男性唤醒体推荐SSR命轮。
Summon_129495_LongDesc1|【<SummonBlue:于万千遥望中>】限时活动唤醒已开启。活动期间，守密人可从中<SummonBlue:自由选定>深海界域唤醒体与推荐命轮获得概率提升。
Summon_129496_LongDesc1|【<SummonRed:于万千遥望中>】限时活动唤醒已开启。活动期间，守密人可从中<SummonRed:自由选定>血肉界域唤醒体与推荐命轮获得概率提升。
LanguageConfig_StrongerWay_CN|·「调查行动」1-2·普通解锁：「融蚀之墟」，可以获得大量唤醒体养成素材。
LanguageConfig_DailyChallengeRankingRuleDesc_CN|1、调查头衔的排名区间会根据参与总人数动态变化，比例如下：
LanguageConfig_SmallSubplotTipsText_CN|<Title:意识潜游>
LanguageConfig_ConfessionEventRulesDesc_CN|<Title:规则说明>
AwakerTalent_74115_TalentDesc_3|·该天赋仅在「星辰篇」关卡中生效。
LanguageConfig_AlchemyDecomposeWeaponRuleContent_CN|1、守密人可以在此进行命轮分解，分解后将不可恢复，请守密人谨慎选择。
LanguageConfig_RailWayStageDifficultyBuffContent1_CN|<Title:关卡奖励>
LanguageConfig_Overload_CN|算力超载！
LanguageConfig_RemoveBuff2_CN|驱散
LanguageConfig_HalfBleeding_CN|出血减半
LanguageConfig_TentacleOverflow_CN|溢出激发
LanguageConfig_GMUserIdText_CN|UID：{s1}
LanguageConfig_EnchantDesc_CN|刻印说明
LanguageConfig_GMNetText_CN|{s1}ms
LanguageConfig_StageClosedText_CN|已关闭
LanguageConfig_PvPTrainGiveUp_CN|退出
LanguageConfig_TimeSettleStr_CN|{s1}后结算
LanguageConfig_PvPGiveUp_CN|投降
LanguageConfig_TrinketConversion_CN|转录
LanguageConfig_TrinketStrengthNeed_CN|需要
LanguageConfig_TrinketsUpgradeOne_CN|升1级
LanguageConfig_WordItemDesc_CN|词缀说明
LanguageConfig_GMVersionText_CN|Ver：{s1}
LanguageConfig_TutorialTitle_CN|教学
LanguageConfig_PvPPlayOrderFirst_CN|先手
LanguageConfig_AwakerTagName_CN|特性
LanguageConfig_BlockText_CN|护盾
LanguageConfig_StageAchieveTaskGot_CN|已达成
LanguageConfig_Unranked_CN|未上榜
LanguageConfig_LTMainDia2_CN|看看这招！
LanguageConfig_KeeperSkillTitle_CN|钥令
LanguageConfig_PvPChallengeBtnText_CN|挑战
LanguageConfig_XLMainDia2_CN|休想拦住我！
LanguageConfig_XLMainDia4_CN|来吧，萝坦！
LanguageConfig_RatingTipsTitle_CN|评价邀请
LanguageConfig_XLMainDia1_CN|哼，就凭你们
LanguageConfig_XLMainDia5_CN|一决高下！
LanguageConfig_LLMainDia2_CN|妈……妈……
LanguageConfig_LLMainDia3_CN|我要……守护
LanguageConfig_MapNodeChaosName_CN|迷雾结节
LanguageConfig_MockDungeonTitle_CN|模拟训练
LanguageConfig_PvPPlayOrderSecond_CN|后手
LanguageConfig_Chaos_Tips_Title_CN|银钥共鸣
LanguageConfig_WakeFromSleep_CN|要来咯！
LanguageConfig_UniversalUnlockButton_CN|解锁
LanguageConfig_RepairTipsTitle_CN|资源修复
LanguageConfig_RedFloatingText_CN|FF1800
LanguageConfig_KMMainDia2_CN|呜……痛……
LanguageConfig_Resurrection_CN|复活
LanguageConfig_DoubleKill_CN|双杀！
LanguageConfig_TripleKill_CN|三杀！！
LanguageConfig_TeamWipe_CN|团灭！！！
LanguageConfig_TrinketUpgrade_CN|升级
LanguageConfig_StateEffectDesc_CN|状态说明
LanguageConfig_Unlockable_CN|可解锁
LanguageConfig_SocialSystemSearch_CN|搜索
LanguageConfig_PVPWinningStreak_CN|连续胜利
LanguageConfig_CommonTabAll_CN|全部
LanguageConfig_WeeklyRecord_CN|每周试炼
LanguageConfig_PVPMatchDefeat_CN|比赛失败
LanguageConfig_SocialSystemFans_CN|追随者
LanguageConfig_SpecialRating_CN|评分项
LanguageConfig_MustBattle_CN|必须上阵
LanguageConfig_AbyssChallengePass_CN|已通关
LanguageConfig_SpecialTeamTryOut_CN|试用
LanguageConfig_TeamFormation_CN|编队
LanguageConfig_LotteryRuleTitle_CN|规则说明
LanguageConfig_SocialSystemLookup_CN|查找
LanguageConfig_DailyChallengeAll_CN|全部
LanguageConfig_SpecialTeamPreset_CN|预选
LanguageConfig_PVPFirstWinBonus_CN|首胜加成
LanguageConfig_AfterTheNth_CN|第{s1}名后
LanguageConfig_PVPMatchVictory_CN|比赛胜利
LanguageConfig_Chapter7Resonance1_3_CN|1
LanguageConfig_ScoreReachTile_CN|每周试炼
LanguageConfig_Monster_Ocean_Title_CN|触腕
LanguageConfig_PVPSeasonBonus_CN|赛季加成
LanguageConfig_TheNth_CN|第{s1}名
LanguageConfig_SelectTrinketNo_CN|无
LanguageConfig_SpiritualDeepen_CN|灵知深化
LanguageConfig_ResonanceUnlock_And_CN|和
LanguageConfig_SystemPreset_CN|剧情预设
LanguageConfig_AwakerStoryNameEn_CN|英文名
LanguageConfig_TrinketFilterSuitTitle_CN|套装
LanguageConfig_Chapter7Resonance1_4_CN|2
LanguageConfig_TeamTitleText_CN|队伍配置
LanguageConfig_SocialSystemFollow_CN|关注
LanguageConfig_SocialSystemVisitor_CN|来访者
LanguageConfig_ResonanceUnlock_Or_CN|或
LanguageConfig_SelectTrinketHave_CN|有
LanguageConfig_TrinketFilterPartTitle_CN|位置
LanguageConfig_yixiang14_CN|月亮
LanguageConfig_Text_Unlock_CN|解锁
LanguageConfig_Monster_O01_SideDia7_CN|2……
LanguageConfig_yixiang1_CN|太阳
LanguageConfig_LotteryCoreRewardLabel_CN|特殊
LanguageConfig_ActivityIsEnd_CN|活动已结束
LanguageConfig_DeathResist_1_CN|死亡抵抗！
LanguageConfig_DispatchNormal_CN|派遣
LanguageConfig_DispatchClear_CN|清空
LanguageConfig_CopySettleUncleared_CN|未通关
LanguageConfig_Monster_O01_SideDia6_CN|3……
LanguageConfig_ItemUsingDesc_CN|使用中
LanguageConfig_CopySettleTitle_CN|调查数据
LanguageConfig_TextAlreadyReceived_CN|已领取
LanguageConfig_GoodSourcePVP_CN|相位对弈
LanguageConfig_yixiang3_CN|春天
LanguageConfig_yixiang8_CN|森林
LanguageConfig_RankListLikeCount_CN|点赞数
LanguageConfig_yixiang10_CN|花束
LanguageConfig_yixiang12_CN|大地
LanguageConfig_UltlSkillName_CN|狂气爆发
LanguageConfig_yixiang13_CN|泉水
LanguageConfig_yixiang6_CN|云朵
LanguageConfig_InviteWeapon_CN|选择命轮
LanguageConfig_Text_Enter_Plot_CN|进入剧情
LanguageConfig_LuckyTime_3_CN|好运时间：3
LanguageConfig_yixiang2_CN|星星
LanguageConfig_yixiang4_CN|诗句
LanguageConfig_DispatchClose_CN|关闭
LanguageConfig_DispatchAgain_CN|再次派遣
LanguageConfig_LuckyTime_1_CN|好运时间：1
LanguageConfig_LuckyTime_2_CN|好运时间：2
LanguageConfig_InviteAwaker_CN|免费唤醒
LanguageConfig_Monster_O01_SideDia8_CN|1……
LanguageConfig_SocialSystemRank_CN|达人榜
LanguageConfig_yixiang5_CN|蝴蝶
LanguageConfig_yixiang7_2_CN|风
LanguageConfig_yixiang8_3_CN|森林
LanguageConfig_yixiang12_2_CN|大地
LanguageConfig_yixiang3_3_CN|春天
LanguageConfig_Nonimagery_1_1_1_2_CN|眺望
LanguageConfig_yixiang7_1_CN|风
LanguageConfig_yixiang6_2_CN|云朵
LanguageConfig_yixiang1_3_CN|太阳
LanguageConfig_yixiang7_3_CN|风
LanguageConfig_yixiang9_3_CN|雪
LanguageConfig_Nonimagery_1_4_1_3_CN|为了
LanguageConfig_yixiang1_2_CN|太阳
LanguageConfig_yixiang2_2_CN|星星
LanguageConfig_yixiang2_3_CN|星星
LanguageConfig_Nonimagery_1_4_1_1_CN|直到
LanguageConfig_Nonimagery_1_4_1_2_CN|无论
LanguageConfig_yixiang4_2_CN|诗句
LanguageConfig_yixiang5_2_CN|蝴蝶
LanguageConfig_yixiang5_1_CN|蝴蝶
LanguageConfig_yixiang10_1_CN|花束
LanguageConfig_Nonimagery_1_2_1_2_CN|还是
LanguageConfig_yixiang6_1_CN|云朵
LanguageConfig_yixiang10_2_CN|花束
LanguageConfig_yixiang13_1_CN|泉水
LanguageConfig_yixiang13_2_CN|泉水
LanguageConfig_Nonimagery_1_3_1_2_CN|跳跃着
LanguageConfig_yixiang2_1_CN|星星
LanguageConfig_yixiang11_2_CN|猫
LanguageConfig_yixiang13_3_CN|泉水
LanguageConfig_yixiang14_2_CN|月亮
LanguageConfig_yixiang14_3_CN|月亮
LanguageConfig_yixiang8_1_CN|森林
LanguageConfig_Nonimagery_1_2_1_3_CN|仍然
LanguageConfig_yixiang14_1_CN|月亮
LanguageConfig_yixiang3_2_CN|春天
LanguageConfig_yixiang5_3_CN|蝴蝶
LanguageConfig_PvPMoreGame_CN|再来一局
LanguageConfig_PvPMoreGameTitle_CN|再来一局
LanguageConfig_yixiang4_1_CN|诗句
LanguageConfig_yixiang12_3_CN|大地
LanguageConfig_C05AFNotUseCard_CN|黑印不足
LanguageConfig_yixiang9_2_CN|雪
LanguageConfig_CanceledText_CN|已取消
LanguageConfig_RefusedText_CN|已拒绝
LanguageConfig_TimeoutText_CN|已超时
LanguageConfig_Nonimagery_1_2_1_1_CN|却
LanguageConfig_yixiang8_2_CN|森林
LanguageConfig_Nonimagery_1_1_1_3_CN|穿越
LanguageConfig_Nonimagery_1_3_1_1_CN|挥动着
LanguageConfig_yixiang1_1_CN|太阳
LanguageConfig_yixiang4_3_CN|诗句
LanguageConfig_yixiang6_3_CN|云朵
LanguageConfig_yixiang11_1_CN|猫
LanguageConfig_yixiang11_3_CN|猫
LanguageConfig_FriendGame_CN|友谊赛
LanguageConfig_EmojiCommonDesc_CN|[表情]
LanguageConfig_yixiang10_3_CN|花束
LanguageConfig_Nonimagery_1_3_1_3_CN|忍耐着
LanguageConfig_yixiang12_1_CN|大地
LanguageConfig_yixiang3_1_CN|春天
LanguageConfig_yixiang9_1_CN|雪
LanguageConfig_Nonimagery_1_1_1_1_CN|哭泣
LanguageConfig_SeasonDesc_4_CN|赛季4描述
LanguageConfig_ReadAllStr_CN|全部已读
LanguageConfig_TextBanTitle_CN|黑名单
LanguageConfig_PvpFriendBattle_CN|友谊赛
LanguageConfig_TextEmptyBan_CN|暂无黑名单
LanguageConfig_TextFightBoss_CN|辰星安魂曲
LanguageConfig_Refresh_CN|刷新
LanguageConfig_PlusGamePassport_CN|高级纪行
LanguageConfig_SeasonName_3_CN|赛季3名称
LanguageConfig_SeasonName_4_CN|赛季4名称
LanguageConfig_SeasonDesc_0_CN|赛季0描述
LanguageConfig_SeasonDesc_2_CN|赛季2描述
LanguageConfig_SaleSuccessful_CN|出售成功
LanguageConfig_ConitinueSurvey_CN|继续调查
LanguageConfig_SpecialShopName_CN|灰烬遗迹
LanguageConfig_PvpMatchBattle_CN|匹配对战
LanguageConfig_PVPRecordTime_Day_CN|{s1} 天前
LanguageConfig_ContainOneSchool_CN|必须包含
LanguageConfig_ItemUseTimes_CN|使用次数
LanguageConfig_SchoolRequired_CN|要求界域
LanguageConfig_SeasonName_1_CN|赛季1名称
LanguageConfig_SeasonName_2_CN|赛季2名称
LanguageConfig_SeasonName_0_CN|赛季0名称
LanguageConfig_StoreGiveBloodTitle_CN|感应
LanguageConfig_TextCancelBan_CN|取消拉黑
LanguageConfig_TextBan_CN|拉黑
LanguageConfig_BattleWaves_CN|波次 {s1}/{s2}
LanguageConfig_SeasonDesc_1_CN|赛季1描述
LanguageConfig_RateStr_CN|倍率×{s1}
LanguageConfig_TextBanned_CN|已拉黑
LanguageConfig_SeasonDesc_3_CN|赛季3描述
LanguageConfig_Word_LordLady_CN|小姐
LanguageConfig_PreOrderTobeClaimed_CN|待领取
LanguageConfig_WeeklyBossTitle_CN|规则说明
LanguageConfig_VoiceActorTips_CN|VA：{s1}
LanguageConfig_Word_Lord_CN|少爷
LanguageConfig_CopySweepBtnText_CN|重现
LanguageConfig_Word_MeiMei_CN|妹妹
LanguageConfig_Word_Sir_CN|先生
LanguageConfig_Word_DiDi_CN|弟弟
LanguageConfig_Word_Madam_CN|小姐
LanguageConfig_SettingToggleOpen_CN|开启
LanguageConfig_CommonItemAchievement_CN|成就
LanguageConfig_SettingToggleClose_CN|关闭
LanguageConfig_LevelDetailRelicGroup_CN|造物
LanguageConfig_CommonReceive_CN|领取
LanguageConfig_SubplotJumpButton_CN|调查
LanguageConfig_ExtraGift_CN|额外赠送
LanguageConfig_DailyChallenge_CN|融珠兑换
LanguageConfig_ThisWeek_CN|本周
LanguageConfig_ActivityTimePermanent_CN|永久
LanguageConfig_ScoreReachTo_CN|分数累计至
LanguageConfig_AutoBattleOpen_CN|已开启
LanguageConfig_Word_JieJie_CN|姐姐
LanguageConfig_AutoBattleTxt_CN|自动战斗
LanguageConfig_SchoolTaskLabel_CN|界域精通
LanguageConfig_Word_GeGe_CN|哥哥
LanguageConfig_CommonItemTalent_CN|共鸣
LanguageConfig_SettingPanelTitle_CN|设置
LanguageConfig_ActivityTimeExpired_CN|已过期
LanguageConfig_RulesOfPlay_CN|幻梦深潜
LanguageConfig_AutoBattleClose_CN|未开启
LanguageConfig_FightAgain_CN|重新战斗
LanguageConfig_MaxHp_CN|最大生命
LanguageConfig_Trinket_Suggest_Btn_CN|推荐
LanguageConfig_RankingPercentDesc_CN|{s1}
LanguageConfig_AffixConnect_CN|的
LanguageConfig_CostTips_CN|算力 +{s1}
LanguageConfig_ExchangeConfirm_CN|确认置换
LanguageConfig_CommunityJump_2_CN|Discord
LanguageConfig_Weapon_Suggest_Btn_CN|推荐
LanguageConfig_SkillNotActivated_CN|未激发
LanguageConfig_Keeper_Cost_CN|能量消耗:
LanguageConfig_MainCopyTitle_CN|调查行动
LanguageConfig_MonsterHideIntention_CN|未知
LanguageConfig_SkillActivated_CN|已激发
LanguageConfig_RuleTipsTitle_CN|规则说明
LanguageConfig_VindicateTitle_CN|繁衍狂热
LanguageConfig_StoryGuideTitle_CN|剧情导览
LanguageConfig_Exchange_Start_CN|置换
LanguageConfig_CommunityJump_1_CN|FaceBook
CommonID_AnyEntryInGroupUnlock_Desc|任务完成条件：分组下任一图鉴条目解锁
CommonID_AnyAvgFirstTrigger_Desc|任务完成条件：触发过任一剧情节点
CommonID_SpecificCommunicateTrig_Desc|任务完成条件：已触发指定通讯器对话
CommonID_AnyNodeTypeFirstTrigger_Desc|任务完成条件：触发过任一节点类型
CommonID_AnyStageFirstClear_Desc|任务完成条件：列表中任一关卡首次通关
LanguageConfig_Resonance_Group_Desc_Horla_CN|探索开始时获得初始造物「奥尔拉的笔与墨」：战斗结束后获得 1 层「笔墨」，「笔墨」达到 2 层后消耗，随机将 1 张「意象」置入牌库。
LanguageConfig_Mail_Description_Detail_CN|<Title:【邮件容量】>
LanguageConfig_DissolutionJewelShopRules_CN|1、守密人可以通过消耗一定的「融蚀之珠」兑换商品。
LanguageConfig_DefaultWord_CN|默认
LanguageConfig_TaskAvgUnlockStr_CN|剧情解锁
LanguageConfig_ChangeDress_CN|换装
LanguageConfig_OffSell_CN|已下架
LanguageConfig_UnGotStr_CN|未获得
LanguageConfig_DressingWord_CN|着装中
LanguageConfig_Owned_CN|已拥有
LanguageConfig_GoGetWord_CN|前往购买
LanguageConfig_DrawOneStr_CN|抽取1次
LanguageConfig_AwakerSkin_CN|幻衣
LanguageConfig_LeftNumStr_CN|{s1}({s2}/{s3})
LanguageConfig_PrizeNum1_CN|一等奖
LanguageConfig_PrizeNum2_CN|二等奖
LanguageConfig_PrizeNum3_CN|三等奖
LanguageConfig_TitleRewardItems_CN|奖励道具
LanguageConfig_PrizeNum5_CN|五等奖
LanguageConfig_AwakerSkinTypeName_CN|幻衣
LanguageConfig_BPTimeFormat_CN|本期剩余{s1}
LanguageConfig_StrongerWayTitle_CN|如何变强
LanguageConfig_PrizeNum6_CN|六等奖
LanguageConfig_PrizeNum10_CN|十等奖
LanguageConfig_BigMeal_CN|豪华大餐！
LanguageConfig_PoolGroupTitle_1_CN|三相衡生
LanguageConfig_PoolGroupTitle_2_CN|因果苗圃
LanguageConfig_AlreadyGot_CN|已获得
LanguageConfig_TitleReward_CN|奖项
LanguageConfig_DoubleExperience_02_CN|额外
LanguageConfig_PrizeNum7_CN|七等奖
LanguageConfig_PrizeNum4_CN|四等奖
LanguageConfig_PrizeNum8_CN|八等奖
LanguageConfig_PrizeNum9_CN|九等奖
LanguageConfig_TitleRate_CN|概率
LanguageConfig_PoolGroupTitle_8_CN|三相衡生
LanguageConfig_WeaponRefined_02_CN|自动叠位
LanguageConfig_PoolGroupTitle_7_CN|因果苗圃
LanguageConfig_LuckyBagRedDotText_CN|推荐
LanguageConfig_SelectAllAwaker_CN|全选
LanguageConfig_WaitngTimeout_CN|等待超时…
LanguageConfig_FriendInvitationPaste_CN|粘贴
LanguageConfig_PreviewClose_CN|关闭
LanguageConfig_WeaponSortTypeName_5_CN|叠位
